UNITS,CBSA_NAME,SITE_LATITUDE,SITE_LONGITUDE,COUNTY,Daily Mean PM2.5 Concentration,STATE,Date
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.4,California,07/13/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.9,California,07/14/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.1,California,07/15/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.4,California,07/16/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.9,California,07/17/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.6,California,07/18/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.4,California,07/19/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5,California,07/20/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.4,California,07/21/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.6,California,07/22/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.5,California,07/23/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,11.5,California,07/24/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,15.2,California,07/25/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.8,California,07/26/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,12.7,California,07/27/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8,California,07/28/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.2,California,07/29/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.1,California,07/30/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.4,California,07/31/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10,California,08/01/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.7,California,08/02/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.6,California,08/03/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.2,California,08/04/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.9,California,08/05/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.3,California,08/06/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.9,California,08/07/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.5,California,08/08/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.1,California,08/09/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.8,California,08/10/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.2,California,08/11/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.8,California,08/12/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.1,California,08/13/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6,California,08/14/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.6,California,08/15/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.2,California,08/16/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.4,California,08/17/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,13.1,California,08/18/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,13.1,California,08/19/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.7,California,08/20/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.9,California,08/21/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.3,California,08/22/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7,California,08/23/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8,California,08/24/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.6,California,08/25/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6,California,08/26/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.2,California,08/27/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.5,California,08/28/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.8,California,08/29/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.7,California,08/30/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.4,California,08/31/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.2,California,09/01/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.2,California,09/02/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.4,California,09/03/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.9,California,09/04/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,11.9,California,09/05/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,18,California,09/06/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,19.6,California,09/07/2016
